HBM_CATMAN20_DATAFILE

27/05/04
17:41
CHANNELS: 3
SEPARATOR: 9
MAXLINES: 1020               

_CH1_Timebase	_CH2_Channel2	_CH3_Channel3
s	mm	mm
05/27/04-17:40:13	05/27/04-17:40:13	05/27/04-17:40:13
		

12.883	1.126	0.228
12.900	1.092	0.228
12.917	1.084	0.240
12.933	1.134	0.224
12.950	1.138	0.244
12.967	1.188	0.248
12.983	1.130	0.264
13.000	1.152	0.220
13.017	1.112	0.204
13.033	1.166	0.232
13.050	1.172	0.248
13.067	1.140	0.240
13.083	1.168	0.244
13.100	1.184	0.252
13.117	1.186	0.248
13.133	1.172	0.244
13.150	1.176	0.212
13.167	1.160	0.216
13.183	1.130	0.236
13.200	1.140	0.220
13.217	1.220	0.236
13.233	1.208	0.248
13.250	1.162	0.256
13.267	1.104	0.216
13.283	1.146	0.216
13.300	1.168	0.236
13.317	1.156	0.272
13.333	1.182	0.252
13.350	1.164	0.256
13.367	1.190	0.220
13.383	1.108	0.216
13.400	1.192	0.192
13.417	1.210	0.184
13.433	1.180	0.200
13.450	1.144	0.216
13.467	1.156	0.232
13.483	1.176	0.252
13.500	1.198	0.256
13.517	1.162	0.252
13.533	1.216	0.268
13.550	1.242	0.260
13.567	1.216	0.236
13.583	1.222	0.228
13.600	1.254	0.220
13.617	1.310	0.232
13.633	1.282	0.236
13.650	1.214	0.268
13.667	1.272	0.252
13.683	1.260	0.260
13.700	1.264	0.272
13.717	1.274	0.284
13.733	1.262	0.240
13.750	1.200	0.220
13.767	1.214	0.220
13.783	1.226	0.260
13.800	1.234	0.300
13.817	1.296	0.296
13.833	1.302	0.280
13.850	1.270	0.308
13.867	1.274	0.300
13.883	1.282	0.256
13.900	1.284	0.248
13.917	1.256	0.248
13.933	1.254	0.268
13.950	1.264	0.248
13.967	1.280	0.232
13.983	1.260	0.252
14.000	1.280	0.252
14.017	1.226	0.240
14.033	1.226	0.268
14.050	1.228	0.296
14.067	1.226	0.300
14.083	1.230	0.284
14.100	1.282	0.252
14.117	1.268	0.244
14.133	1.238	0.236
14.150	1.228	0.236
14.167	1.214	0.256
14.183	1.220	0.280
14.200	1.198	0.304
14.217	1.224	0.296
14.233	1.228	0.268
14.250	1.242	0.244
14.267	1.282	0.236
14.283	1.240	0.216
14.300	1.212	0.224
14.317	1.224	0.244
14.333	1.222	0.280
14.350	1.204	0.280
14.367	1.194	0.296
14.383	1.176	0.312
14.400	1.224	0.328
14.417	1.234	0.280
14.433	1.188	0.276
14.450	1.172	0.264
14.467	1.166	0.260
14.483	1.176	0.240
14.500	1.188	0.232
14.517	1.182	0.248
14.533	1.210	0.288
14.550	1.224	0.296
14.567	1.230	0.324
14.583	1.226	0.300
14.600	1.216	0.252
14.617	1.172	0.240
14.633	1.202	0.240
14.650	1.254	0.256
